pk;service_fk;choice_fk;score
1;1;1;4
2;1;2;5
3;1;3;-2
4;1;4;0
5;1;5;1
6;1;6;0
7;1;7;0
8;1;8;0
9;1;9;0
10;1;10;0
11;1;11;0
12;1;12;0
13;1;13;0
14;1;14;0
15;1;15;0
16;1;16;3
17;1;17;1
18;1;18;-3
19;1;19;3
20;1;20;3
21;1;21;3
22;1;22;2
23;1;23;3
24;1;24;0
25;1;25;3
26;1;26;0
27;1;27;0
28;1;28;0
29;1;29;8
30;1;30;2
31;1;31;2
32;1;32;6
33;1;33;0
34;1;34;0
35;1;35;0
36;1;36;0
37;1;37;0
38;1;38;2
39;2;1;4
40;2;2;2
41;2;3;-4
42;2;4;0
43;2;5;1
44;2;6;0
45;2;7;0
46;2;8;0
47;2;9;0
48;2;10;1
49;2;11;1
50;2;12;0
51;2;13;0
52;2;14;0
53;2;15;0
54;2;16;3
55;2;17;1
56;2;18;-3
57;2;19;3
58;2;20;2
59;2;21;3
60;2;22;2
61;2;23;3
62;2;24;0
63;2;25;2
64;2;26;2
65;2;27;0
66;2;28;0
67;2;29;4
68;2;30;1
69;2;31;3
70;2;32;3
71;2;33;0
72;2;34;-20
73;2;35;0
74;2;36;0
75;2;37;0
76;2;38;2
77;3;1;3
78;3;2;4
79;3;3;0
80;3;4;0
81;3;5;2
82;3;6;0
83;3;7;0
84;3;8;0
85;3;9;0
86;3;10;0
87;3;11;0
88;3;12;0
89;3;13;2
90;3;14;1
91;3;15;0
92;3;16;2
93;3;17;2
94;3;18;0
95;3;19;1
96;3;20;3
97;3;21;5
98;3;22;1
99;3;23;3
100;3;24;2
101;3;25;3
102;3;26;0
103;3;27;0
104;3;28;0
105;3;29;6
106;3;30;2
107;3;31;2
108;3;32;2
109;3;33;0
110;3;34;-100
111;3;35;0
112;3;36;0
113;3;37;-5
114;3;38;5
115;4;1;5
116;4;2;2
117;4;3;-5
118;4;4;0
119;4;5;1
120;4;6;0
121;4;7;0
122;4;8;0
123;4;9;0
124;4;10;0
125;4;11;0
126;4;12;0
127;4;13;1
128;4;14;0
129;4;15;0
130;4;16;3
131;4;17;1
132;4;18;-3
133;4;19;3
134;4;20;3
135;4;21;3
136;4;22;3
137;4;23;8
138;4;24;1
139;4;25;7
140;4;26;0
141;4;27;0
142;4;28;0
143;4;29;6
144;4;30;5
145;4;31;5
146;4;32;5
147;4;33;0
148;4;34;-100
149;4;35;0
150;4;36;0
151;4;37;0
152;4;38;0
153;5;1;4
154;5;2;1
155;5;3;-5
156;5;4;0
157;5;5;1
158;5;6;0
159;5;7;0
160;5;8;0
161;5;9;0
162;5;10;0
163;5;11;0
164;5;12;0
165;5;13;0
166;5;14;0
167;5;15;0
168;5;16;2
169;5;17;1
170;5;18;-2
171;5;19;2
172;5;20;0
173;5;21;2
174;5;22;1
175;5;23;1
176;5;24;0
177;5;25;1
178;5;26;3
179;5;27;0
180;5;28;0
181;5;29;0
182;5;30;2
183;5;31;2
184;5;32;3
185;5;33;0
186;5;34;-100
187;5;35;0
188;5;36;0
189;5;37;0
190;5;38;0
191;6;1;6
192;6;2;2
193;6;3;-4
194;6;4;0
195;6;5;1
196;6;6;0
197;6;7;0
198;6;8;1
199;6;9;0
200;6;10;1
201;6;11;1
202;6;12;0
203;6;13;0
204;6;14;0
205;6;15;0
206;6;16;3
207;6;17;1
208;6;18;-3
209;6;19;3
210;6;20;2
211;6;21;3
212;6;22;2
213;6;23;3
214;6;24;0
215;6;25;0
216;6;26;2
217;6;27;1
218;6;28;0
219;6;29;1
220;6;30;2
221;6;31;3
222;6;32;0
223;6;33;0
224;6;34;-100
225;6;35;0
226;6;36;0
227;6;37;0
228;6;38;0
229;7;1;3
230;7;2;2
231;7;3;-1
232;7;4;0
233;7;5;1
234;7;6;0
235;7;7;0
236;7;8;0
237;7;9;0
238;7;10;0
239;7;11;0
240;7;12;0
241;7;13;0
242;7;14;0
243;7;15;0
244;7;16;2
245;7;17;1
246;7;18;0
247;7;19;2
248;7;20;0
249;7;21;12
250;7;22;0
251;7;23;1
252;7;24;0
253;7;25;1
254;7;26;0
255;7;27;4
256;7;28;0
257;7;29;6
258;7;30;-2
259;7;31;2
260;7;32;1
261;7;33;2
262;7;34;3
263;7;35;4
264;7;36;5
265;7;37;6
266;7;38;7
267;8;1;8
268;8;2;9
269;8;3;10
270;8;4;11
271;8;5;12
272;8;6;13
273;8;7;14
274;8;8;0
275;8;9;0
276;8;10;0
277;8;11;0
278;8;12;0
279;8;13;3
280;8;14;2
281;8;15;0
282;8;16;3
283;8;17;0
284;8;18;-2
285;8;19;3
286;8;20;1
287;8;21;1
288;8;22;3
289;8;23;2
290;8;24;2
291;8;25;2
292;8;26;2
293;8;27;0
294;8;28;0
295;8;29;1
296;8;30;0
297;8;31;2
298;8;32;1
299;8;33;0
300;8;34;0
301;8;35;0
302;8;36;0
303;8;37;0
304;8;38;2
305;10;1;0
