service_name;pk;service_link;service_title;service_subtitle;service_description;service_urgency;service_unsalaried;service_image
Einkaufsservice;1;http://www.drk-karlsruhe.de/angebote/senioren/hauswirtschaftliche-hilfen/einkaufsservice.html;Einkaufsdienst;Unterstütze Senioren und körperlich behinderte Mitmenschen bei ihrem Einkauf;"Der Einkauf des täglichen Bedarfs kann mit zunehmendem Alter oder mit einer Behinderung zu einer großen Belastung werden. Nicht nur, dass man sich im unübersichtlichen Sortiment zurechtfinden muss, die schweren Tüten müssen ja auch noch nach Hause. 
Als ehrenamtlicher Helfer beim Einkaufsdienst hilfst du älteren, behinderten oder kranken Mitmenschen beim Einkaufen.";3;1;Einkaufsservice.jpg
Besuchsdienst;2;http://www.drk-karlsruhe.de/angebote/senioren/besuchsdienst.html;Ehrenamtlicher Besuchsdienst;Besuche Senioren und wirke der Einsamkeit entgegen;"Im Alter in Würde in der eigenen Wohnung zu leben, dazu gehört nicht nur, medizinisch und hauswirtschaftlich gut versorgt zu sein, sondern auch sich nicht einsam zu fühlen und der Austausch mit einem Menschen, dem man vertraut. Um der Vereinsamung älterer, kranker und pflegebedürftiger Menschen entgegen zu wirken, hat das DRK einen ehrenamtlichen Besuchdienst eingerichtet.
Unser Besuchsdienst begleitet ältere, kranke und pflegebedürftige Menschen zu Spaziergängen und kleinen Ausflügen oder löst gemeinsam Rätsel.";3;1;Besuchsdienst.jpg
Essen auf Rädern;3;http://www.drk-karlsruhe.de/angebote/senioren/essen-auf-raedern-karlsruhe/;Essen auf Rädern;Hilf dabei mit, Senioren und körperlich behinderte Menschen mit Essen zu versorgen - aktuell werden Fahrer gesucht;Der DRK-Kreisverband Karlsruhe liefert an alte oder behinderte Menschen im Rahmen des Mahlzeitendienstes auf Rädern eine Warmverpflegung in der Mittagszeit oder eine Tiefkühlverpflegung in Tagestouren aus. Mit einem freundlichen Wort werden die Essen in die Wohnungen gebracht. Aus dem Augenwinkel und mit offenem Ohr wird dabei beobachtet, wie es der Empfängerin bzw. dem Empfänger geht und ob weitere Hilfen notwendig sind. Dafür suchen wir noch ehrenamtliche Aushilfskräfte. Der Dienst wird im Regelfall von jungen Menschen im Freiwilligen sozialen Jahr erbracht.;5;1;Essen auf Rädern.jpg
Hauswirtschaftliche Hilfen;4;http://www.drk-karlsruhe.de/angebote/senioren/hauswirtschaftliche-hilfen.html;Hauswirtschaftliche Hilfen;Hilf' dabei mit, älteren Menschen ein selbstbestimmtes Leben in den eigenen vier Wänden zu ermöglichen;Viele alte, behinderte oder kranke Menschen müssen Ihre Wohnung aufgeben, weil sie die Hausarbeit allein nicht mehr bewältigen können. In vielen Fällen kann ein wenig Hilfe jedoch den Umzug in ein Heim vermeiden: helfen Sie dabei mit, diese Menschen im Haushalt zu unterstützen.;4;0;Hauswirtschaftliche Hilfen.jpg
Bewegungsprogramme;5;http://www.drk-karlsruhe.de/angebote/senioren/bewegungsgruppen.html;Übungsleiter/in Bewegungsprogramme;Von geselligem Tanzen bis Seniorengymnastik: unterstüze die Bewegungsgruppen als ehrenamtliche/r Übungsleiter/in;"Bewegungsprogramme werden zunehmend ein wichtiges Angebot für die wachsende Zahl von Menschen, die mit Erkrankungen aktiv sein wollen oder die trotz Einschränkungen etwas für ihre Gesundheit tun wollen, z.B. für Senioren oder chronisch Kranke. Darüberhinaus geht es um gemeinsame Bewegung, Sport und Spaß mit Gleichaltrigen in lockerer Runde.
Haben Sie Freude an Bewegung und möchten sich sozial engagieren? 
Dann werden Sie Übungsleiter/in! 
";3;1;Bewegungsprogramme.jpg
Aktivierender Hausbesuch;6;http://www.drk-karlsruhe.de/angebote/senioren/aktivierender-hausbesuch.html;Aktivierender Hausbesuch;Bringe ältere Mitmensche wieder in Schwung;"Der Aktivierende Hausbesuch soll dazu beitragen, dass im Alter die Mobilität gefördert und die sozialen Kontakte beibehalten werden. 
Dazu werden die Menschen in höherem Alter von unseren ehrenamtlichen Übungsleiter/innen besucht.
Für unser Angebot suchen wir noch Ehrenamtliche, die Freude am Gespräch und am Umgang mit älteren Menschen haben. Wenn Sie dabei selbst körperlich fit sind und ein gutes Rhytmikgefühl haben, ist dies für Sie vielleicht genau das richtige Engagement für Sie. ";3;1;Aktivierender Hausbesuch.jpg
Betreutes Reisen;7;http://www.drk-karlsruhe.de/angebote/senioren/seniorenreisen.html;Fahrer Betreutes Reisen;Fahrer/in für Fahrten zum Flughafen bzw. zum Busbahnhof gesucht;Der DRK-Kreisverband Karlsruhe vermittelt Menschen Reisen mit besonderer Betreuung und Begleitung. Die Teilnehmerinnen und Teilnehmer werden an ihrer Wohnungstür abgeholt und brauchen sich weder um das Gepäck, noch um das Einchecken zu kümmern. All dies - und die sorgenfreie Fahrt zum Busbahnhof oder zum Flughafen in Stuttgart sollen die gesuchten Fahrerinnen und Fahrer ehrenamtlich übernehmen. Dabei ist der Einsatz individuell und fällt zu den unterschiedlichsten Zeiten an.;3;1;Betreutes Reisen.jpg
Betreuungsverein (Betreuungsangebote);8;http://www.drk-karlsruhe.de/angebote/senioren/betreuungsverein.html;Betreuer im Betreuungsverein;Werde ehrenamtlicher gesetzlicher Betreuer für ältere Mitmenschen und Menschen mit körperlicher oder geistiger Behinderung;"Viele Menschen sind aufgrund psychischer Erkrankungen und/oder körperlicher oder geistiger Behinderungen nicht mehr in der Lage, ihre Angelegenheiten (z.B. Wahrnehmen wichtiger Termine, Bearbeitung der Post) ganz oder teilweise eigenständig zu regeln und benötigen einen Betreuer, der als ihr gesetzlicher Vertreter vom Betreuungsgericht bestellt wird. 
Ziel der gesetzlichen Betreuung ist die Vertretung der Interessen der hilfsbedürftigen Person in ihrem persönlichen Umfeld und in rechtlicher Hinsicht.
Folgende Voraussetzungen sollte man als Bewerber für eine ehrenamtliche Betreuung mitbringen: Einfühlsamkeit, Toleranz und Verständnis, Gelassenheit und Geduld, eine realistische Lebenseinstellung und Lebenserfahrung, Verschwiegenheit, Verlässlichkeit, Verantwortungsbewusstsein, Belastbarkeit und natürlich soziales Engagement
Durch die Betreuungsarbeit erfahren das befriedigende Gefühl, eine sinnvolle Arbeit zu tun. Sie erkennen das konkrete Ergebnis Ihrer Hilfen, machen neue Erfahrungen im Umgang mit Menschen, gewinnen neue Sichtweisen und erweitern Ihre Kenntnisse und Fähigkeiten. Wir bieten Ihnen kostenlose Beratung und Unterstützung als ehrenamtlicher gesetzlicher Betreuer. Wir würden uns freuen, Sie zu unseren regelmäßig stattfindenden Fortbildungsveranstaltungen begrüßen zu dürfen.
";3;1;Betreuungsverein.jpg
Gruppenleiter Jugendrotkreuz;10;http://www.drk-karlsruhe.de/angebote/gemeinschaften-und-partizipation/jugendrotkreuz-jrk.html;Gruppenleiter DJRK;Werde Gruppenleiter im Jugendrotkreuz;Als Gruppenleiter im Deutschen Jugendrotkreuz führst du Jugendliche an die Grundsätze des Roten Kreuzes heran. Neben der spielerischen Heranführung an die Erste Hilfe stehen vor allem auch Spaß, Spiel und Spannung im Mittelpunkt. Dazu gehören die Organisation und Durchführung von Freizeiten und Ausflügen genauso wie die Arbeit an musisch-kulturellen und sozialen Projekten.;3;1;Ehrenamt_Platzhalter.jpg
FSJ;11;http://www.drk-karlsruhe.de/angebote/familie-und-jugend/freiwilliges-soziales-jahr.html;Freiwilliges Soziales Jahr;Leiste ein freiwilliges soziales Jahr beim DRK;Das FSJ ist ein Angebot für junge Menschen zu freiwilligem sozialem Engagement, zur Persönlichkeitsentwicklung, zur beruflichen Orientierung und zu sozialer und politischer Bildung. In der Regel wird das FSJ als Praktikum bzw. als Wartezeit von Fach- und Hochschulen sowie anderen Ausbildungsstätten anerkannt. Damit verbessern sich die Chancen auf eine Ausbildungs- oder Studienplatz im Sozialbereich.;1;0;FSJ.jpg
